DateTime,Load
1400/01/01 H1,301.95074
1400/01/01 H2,271.13169
1400/01/01 H3,255.124196
1400/01/01 H4,247.16882
1400/01/01 H5,243.576528
1400/01/01 H6,239.007378
1400/01/01 H7,228.512433
1400/01/01 H8,230.807165
1400/01/01 H9,244.596141
1400/01/01 H10,262.542844
1400/01/01 H11,276.076929
1400/01/01 H12,281.036458
1400/01/01 H13,281.171647
1400/01/01 H14,278.363999
1400/01/01 H15,273.632413
1400/01/01 H16,269.229793
1400/01/01 H17,271.094868
1400/01/01 H18,280.264652
1400/01/01 H19,325.093839
1400/01/01 H20,368.796382
1400/01/01 H21,363.842085
1400/01/01 H22,355.418889
1400/01/01 H23,345.431563
1400/01/01 H24,331.32049
1400/01/02 H1,0.0
1400/01/02 H2,302.858843
1400/01/02 H3,272.421103
1400/01/02 H4,255.669054
1400/01/02 H5,247.299453
1400/01/02 H6,244.08732
1400/01/02 H7,243.058617
1400/01/02 H8,232.354497
1400/01/02 H9,234.551307
1400/01/02 H10,249.891301
1400/01/02 H11,269.947695
1400/01/02 H12,285.218881
1400/01/02 H13,290.155107
1400/01/02 H14,288.903483
1400/01/02 H15,283.734928
1400/01/02 H16,278.44721
1400/01/02 H17,277.494833
1400/01/02 H18,279.69154
1400/01/02 H19,293.924915
1400/01/02 H20,341.288929
1400/01/02 H21,377.31633
1400/01/02 H22,369.056287
1400/01/02 H23,357.403529
1400/01/02 H24,344.786574
1400/01/03 H1,326.110337
1400/01/03 H2,294.59129
1400/01/03 H3,267.451991
1400/01/03 H4,253.959189
1400/01/03 H5,247.802549
1400/01/03 H6,245.43072
1400/01/03 H7,242.544221
1400/01/03 H8,232.555281
1400/01/03 H9,237.768331
1400/01/03 H10,255.12459
1400/01/03 H11,277.647667
1400/01/03 H12,296.246891
1400/01/03 H13,302.468731
1400/01/03 H14,302.89881
1400/01/03 H15,298.892484
1400/01/03 H16,298.028399
1400/01/03 H17,302.942181
1400/01/03 H18,310.834565
1400/01/03 H19,321.12672
1400/01/03 H20,351.975302
1400/01/03 H21,381.193585
1400/01/03 H22,372.975475
1400/01/03 H23,361.653087
1400/01/03 H24,348.730577
1400/01/04 H1,327.87994
1400/01/04 H2,296.560175
1400/01/04 H3,270.78943
1400/01/04 H4,256.314881
1400/01/04 H5,248.099433
1400/01/04 H6,246.623878
1400/01/04 H7,246.162295
1400/01/04 H8,235.640568
1400/01/04 H9,240.580521
1400/01/04 H10,255.916898
1400/01/04 H11,283.952127
1400/01/04 H12,303.712657
1400/01/04 H13,309.412755
1400/01/04 H14,306.161168
1400/01/04 H15,297.503773
1400/01/04 H16,291.394602
1400/01/04 H17,297.25472
1400/01/04 H18,301.377388
1400/01/04 H19,311.993927
1400/01/04 H20,349.286351
1400/01/04 H21,381.911799
1400/01/04 H22,371.744897
1400/01/04 H23,356.32591
1400/01/04 H24,342.898926
1400/01/05 H1,328.794386
1400/01/05 H2,297.100291
1400/01/05 H3,271.102754
1400/01/05 H4,256.956414
1400/01/05 H5,250.083746
1400/01/05 H6,246.782099
1400/01/05 H7,245.79881
1400/01/05 H8,239.871335
1400/01/05 H9,248.994838
1400/01/05 H10,265.214903
1400/01/05 H11,292.330893
1400/01/05 H12,314.417701
1400/01/05 H13,317.338811
1400/01/05 H14,304.365352
1400/01/05 H15,293.631644
1400/01/05 H16,291.36031
1400/01/05 H17,289.827847
1400/01/05 H18,296.818253
1400/01/05 H19,308.468563
1400/01/05 H20,350.087353
1400/01/05 H21,391.002395
1400/01/05 H22,381.385821
1400/01/05 H23,370.17009
1400/01/05 H24,358.375881
1400/01/06 H1,337.444338
1400/01/06 H2,304.242552
1400/01/06 H3,275.634649
1400/01/06 H4,260.950082
1400/01/06 H5,253.621221
1400/01/06 H6,251.017931
1400/01/06 H7,246.498971
1400/01/06 H8,238.06605
1400/01/06 H9,243.729175
1400/01/06 H10,261.00901
1400/01/06 H11,283.803917
1400/01/06 H12,303.534961
1400/01/06 H13,307.463506
1400/01/06 H14,303.600513
1400/01/06 H15,297.354661
1400/01/06 H16,292.447968
1400/01/06 H17,289.892968
1400/01/06 H18,294.484567
1400/01/06 H19,305.018553
1400/01/06 H20,345.369723
1400/01/06 H21,388.729445
1400/01/06 H22,382.122413
1400/01/06 H23,372.797514
1400/01/06 H24,359.904904
1400/01/07 H1,335.939367
1400/01/07 H2,301.675043
1400/01/07 H3,276.766639
1400/01/07 H4,264.510392
1400/01/07 H5,257.565584
1400/01/07 H6,256.070409
1400/01/07 H7,255.112558
1400/01/07 H8,251.924789
1400/01/07 H9,267.568856
1400/01/07 H10,290.63688
1400/01/07 H11,316.321758
1400/01/07 H12,331.540043
1400/01/07 H13,338.700037
1400/01/07 H14,328.397914
1400/01/07 H15,314.855313
1400/01/07 H16,305.259833
1400/01/07 H17,305.59431
1400/01/07 H18,311.211629
1400/01/07 H19,320.596894
1400/01/07 H20,360.938806
1400/01/07 H21,406.492307
1400/01/07 H22,394.205772
1400/01/07 H23,380.669626
1400/01/07 H24,368.898635
1400/01/08 H1,342.893367
1400/01/08 H2,309.655868
1400/01/08 H3,282.766029
1400/01/08 H4,267.634771
1400/01/08 H5,261.196672
1400/01/08 H6,259.038454
1400/01/08 H7,257.746359
1400/01/08 H8,254.84946
1400/01/08 H9,271.856939
1400/01/08 H10,294.375998
1400/01/08 H11,322.645054
1400/01/08 H12,342.087182
1400/01/08 H13,348.300749
1400/01/08 H14,341.948314
1400/01/08 H15,334.001775
1400/01/08 H16,329.371193
1400/01/08 H17,330.253074
1400/01/08 H18,333.239242
1400/01/08 H19,339.437246
1400/01/08 H20,376.152682
1400/01/08 H21,419.46655
1400/01/08 H22,406.085341
1400/01/08 H23,391.443466
1400/01/08 H24,375.920021
1400/01/09 H1,350.36187
1400/01/09 H2,315.059345
1400/01/09 H3,287.789396
1400/01/09 H4,272.169036
1400/01/09 H5,265.148554
1400/01/09 H6,263.730864
1400/01/09 H7,260.605899
1400/01/09 H8,253.033986
1400/01/09 H9,266.860839
1400/01/09 H10,290.630968
1400/01/09 H11,319.264857
1400/01/09 H12,341.829364
1400/01/09 H13,347.556334
1400/01/09 H14,342.054966
1400/01/09 H15,332.925856
1400/01/09 H16,330.67288
1400/01/09 H17,329.626493
1400/01/09 H18,330.876834
1400/01/09 H19,337.558961
1400/01/09 H20,371.946744
1400/01/09 H21,415.127017
1400/01/09 H22,403.715667
1400/01/09 H23,391.486704
1400/01/09 H24,376.73534
1400/01/10 H1,349.642446
1400/01/10 H2,313.989777
1400/01/10 H3,288.658252
1400/01/10 H4,274.818612
1400/01/10 H5,268.265025
1400/01/10 H6,265.998296
1400/01/10 H7,264.43316
1400/01/10 H8,260.684486
1400/01/10 H9,280.131066
1400/01/10 H10,309.569553
1400/01/10 H11,340.928399
1400/01/10 H12,358.818718
1400/01/10 H13,367.149071
1400/01/10 H14,357.69147
1400/01/10 H15,347.207699
1400/01/10 H16,342.129924
1400/01/10 H17,342.595529
1400/01/10 H18,345.5401
1400/01/10 H19,350.727517
1400/01/10 H20,385.150385
1400/01/10 H21,428.696789
1400/01/10 H22,414.090324
1400/01/10 H23,399.695552
1400/01/10 H24,382.100112
1400/01/11 H1,353.188498
1400/01/11 H2,318.283899
1400/01/11 H3,291.992694
1400/01/11 H4,279.502627
1400/01/11 H5,272.499802
1400/01/11 H6,269.874565
1400/01/11 H7,268.633588
1400/01/11 H8,266.201376
1400/01/11 H9,288.285517
1400/01/11 H10,316.902541
1400/01/11 H11,348.116564
1400/01/11 H12,370.821649
1400/01/11 H13,377.511785
1400/01/11 H14,367.787479
1400/01/11 H15,359.894129
1400/01/11 H16,354.946497
1400/01/11 H17,355.285686
1400/01/11 H18,361.935427
1400/01/11 H19,376.763921
1400/01/11 H20,408.086437
1400/01/11 H21,432.506099
1400/01/11 H22,416.96077
1400/01/11 H23,405.663351
1400/01/11 H24,390.040249
1400/01/12 H1,361.432437
1400/01/12 H2,326.219123
1400/01/12 H3,299.031413
1400/01/12 H4,285.598826
1400/01/12 H5,275.868136
1400/01/12 H6,274.894079
1400/01/12 H7,272.753074
1400/01/12 H8,266.443176
1400/01/12 H9,279.454584
1400/01/12 H10,306.263287
1400/01/12 H11,333.289263
1400/01/12 H12,357.711693
1400/01/12 H13,367.477529
1400/01/12 H14,359.823275
1400/01/12 H15,351.509537
1400/01/12 H16,347.545194
1400/01/12 H17,346.191273
1400/01/12 H18,350.258139
1400/01/12 H19,361.882281
1400/01/12 H20,392.439666
1400/01/12 H21,431.759401
1400/01/12 H22,421.115283
1400/01/12 H23,409.294285
1400/01/12 H24,392.300826
1400/01/13 H1,366.448981
1400/01/13 H2,332.125868
1400/01/13 H3,304.207927
1400/01/13 H4,288.351866
1400/01/13 H5,280.868807
1400/01/13 H6,278.459822
1400/01/13 H7,271.825665
1400/01/13 H8,258.526142
1400/01/13 H9,265.859153
1400/01/13 H10,284.381935
1400/01/13 H11,305.608656
1400/01/13 H12,316.532099
1400/01/13 H13,315.968547
1400/01/13 H14,305.693292
1400/01/13 H15,298.747319
1400/01/13 H16,293.487343
1400/01/13 H17,291.754338
1400/01/13 H18,295.520783
1400/01/13 H19,305.577435
1400/01/13 H20,341.144016
1400/01/13 H21,396.671932
1400/01/13 H22,398.409611
1400/01/13 H23,391.216503
1400/01/13 H24,372.886769
1400/01/14 H1,339.132867
1400/01/14 H2,303.110905
1400/01/14 H3,282.804133
1400/01/14 H4,273.747507
1400/01/14 H5,269.941284
1400/01/14 H6,270.842395
1400/01/14 H7,271.602161
1400/01/14 H8,274.724674
1400/01/14 H9,306.076104
1400/01/14 H10,343.086667
1400/01/14 H11,377.63036
1400/01/14 H12,396.37675
1400/01/14 H13,398.354587
1400/01/14 H14,388.816519
1400/01/14 H15,374.228281
1400/01/14 H16,367.239556
1400/01/14 H17,366.089396
1400/01/14 H18,372.103635
1400/01/14 H19,376.536968
1400/01/14 H20,408.270703
1400/01/14 H21,455.814127
1400/01/14 H22,444.889824
1400/01/14 H23,428.805626
1400/01/14 H24,405.382859
1400/01/15 H1,366.892513
1400/01/15 H2,329.049751
1400/01/15 H3,307.199697
1400/01/15 H4,294.941096
1400/01/15 H5,289.674963
1400/01/15 H6,289.227174
1400/01/15 H7,275.311616
1400/01/15 H8,290.7485
1400/01/15 H9,328.508124
1400/01/15 H10,366.985665
1400/01/15 H11,399.52493
1400/01/15 H12,410.379888
1400/01/15 H13,421.940645
1400/01/15 H14,409.835751
1400/01/15 H15,398.665218
1400/01/15 H16,398.212315
1400/01/15 H17,399.973374
1400/01/15 H18,400.595915
1400/01/15 H19,398.875336
1400/01/15 H20,428.525457
1400/01/15 H21,476.217002
1400/01/15 H22,464.811448
1400/01/15 H23,444.587867
1400/01/15 H24,418.363226
1400/01/16 H1,380.373699
1400/01/16 H2,342.800549
1400/01/16 H3,320.256492
1400/01/16 H4,310.218242
1400/01/16 H5,304.227799
1400/01/16 H6,302.624559
1400/01/16 H7,300.370539
1400/01/16 H8,306.023617
