datetime,Load,month_sin,month_cos,day_of_week_sin,day_of_week_cos,hour_sin,hour_cos,Load_previous_hour,Load_same_hour_previous_day,Load_same_hour_previous_week
2021-08-16 19:00:00+00:00,646.680967,-0.8660254037844384,-0.5000000000000004,0.0,1.0,-0.9659258262890684,0.2588190451025203,655.737195,589.186557,610.936294
2021-08-16 20:00:00+00:00,684.568044,-0.8660254037844384,-0.5000000000000004,0.0,1.0,-0.8660254037844386,0.5000000000000001,646.680967,615.656907,630.854502
2021-08-16 21:00:00+00:00,696.071487,-0.8660254037844384,-0.5000000000000004,0.0,1.0,-0.7071067811865477,0.7071067811865474,684.568044,595.293314,628.983247
2021-08-16 22:00:00+00:00,671.354984,-0.8660254037844384,-0.5000000000000004,0.0,1.0,-0.5000000000000004,0.8660254037844384,696.071487,637.34183,611.261124
2021-08-16 23:00:00+00:00,641.429362,-0.8660254037844384,-0.5000000000000004,0.0,1.0,-0.2588190451025215,0.965925826289068,671.354984,652.231409,596.691738
2021-08-17 00:00:00+00:00,612.879998,-0.8660254037844384,-0.5000000000000004,0.7818314824680298,0.6234898018587336,0.0,1.0,641.429362,619.493863,572.984095
2021-08-17 01:00:00+00:00,579.301954,-0.8660254037844384,-0.5000000000000004,0.7818314824680298,0.6234898018587336,0.2588190451025207,0.9659258262890684,612.879998,583.267803,561.028396
2021-08-17 02:00:00+00:00,553.411823,-0.8660254037844384,-0.5000000000000004,0.7818314824680298,0.6234898018587336,0.4999999999999999,0.8660254037844387,579.301954,557.43084,549.192557
2021-08-17 03:00:00+00:00,538.451807,-0.8660254037844384,-0.5000000000000004,0.7818314824680298,0.6234898018587336,0.7071067811865475,0.7071067811865476,553.411823,542.22495,533.502497
2021-08-17 04:00:00+00:00,528.004822,-0.8660254037844384,-0.5000000000000004,0.7818314824680298,0.6234898018587336,0.8660254037844386,0.5000000000000001,538.451807,534.42518,524.158693
