DateTime,Load
1398/01/08 H19,314.444113
1398/01/08 H20,348.766492
1398/01/08 H21,381.223826
1398/01/08 H22,369.103962
1398/01/08 H23,358.868703
1398/01/08 H24,349.657765
1398/01/09 H1,335.52083
1398/01/09 H2,305.03222
1398/01/09 H3,272.55231
1398/01/09 H4,258.534027
1398/01/09 H5,250.893882
1398/01/09 H6,248.525866
1398/01/09 H7,245.585808
1398/01/09 H8,229.94716
1398/01/09 H9,233.961444
1398/01/09 H10,248.734008
1398/01/09 H11,270.811582
1398/01/09 H12,288.078755
1398/01/09 H13,293.613218
1398/01/09 H14,288.066755
1398/01/09 H15,279.527625
1398/01/09 H16,274.163072
1398/01/09 H17,276.838451
1398/01/09 H18,289.198642
1398/01/09 H19,306.176448
1398/01/09 H20,341.190468
1398/01/09 H21,376.651102
1398/01/09 H22,366.39267
1398/01/09 H23,357.790821
1398/01/09 H24,347.969984
1398/01/10 H1,331.029458
1398/01/10 H2,298.108505
1398/01/10 H3,271.518993
1398/01/10 H4,256.772265
1398/01/10 H5,249.954123
1398/01/10 H6,247.241869
1398/01/10 H7,246.750848
1398/01/10 H8,236.554648
1398/01/10 H9,247.832991
1398/01/10 H10,268.555298
1398/01/10 H11,292.93982
1398/01/10 H12,308.0462
1398/01/10 H13,314.416741
1398/01/10 H14,306.719452
1398/01/10 H15,298.123076
1398/01/10 H16,295.602382
1398/01/10 H17,302.513496
1398/01/10 H18,312.032508
1398/01/10 H19,324.361349
1398/01/10 H20,361.236754
1398/01/10 H21,386.765489
1398/01/10 H22,372.618564
1398/01/10 H23,363.783909
1398/01/10 H24,353.366552
1398/01/11 H1,336.343398
1398/01/11 H2,302.663218
1398/01/11 H3,270.787332
1398/01/11 H4,257.102786
1398/01/11 H5,251.335233
1398/01/11 H6,249.796304
1398/01/11 H7,249.038572
1398/01/11 H8,238.884458
1398/01/11 H9,250.394767
1398/01/11 H10,268.674432
1398/01/11 H11,300.951159
1398/01/11 H12,330.236855
1398/01/11 H13,345.832352
1398/01/11 H14,344.673597
1398/01/11 H15,330.246453
1398/01/11 H16,316.765657
1398/01/11 H17,316.413281
1398/01/11 H18,329.546342
1398/01/11 H19,345.671738
1398/01/11 H20,373.268283
1398/01/11 H21,389.854276
1398/01/11 H22,377.818577
1398/01/11 H23,364.458019
1398/01/11 H24,347.854581
1398/01/12 H1,322.248276
1398/01/12 H2,294.084017
1398/01/12 H3,269.956917
1398/01/12 H4,255.830348
1398/01/12 H5,245.993222
1398/01/12 H6,235.8927
1398/01/12 H7,230.200253
1398/01/12 H8,215.971429
1398/01/12 H9,217.094887
1398/01/12 H10,223.857201
1398/01/12 H11,237.578087
1398/01/12 H12,253.186537
1398/01/12 H13,268.949446
1398/01/12 H14,261.611065
1398/01/12 H15,267.978175
1398/01/12 H16,269.463691
1398/01/12 H17,275.654439
1398/01/12 H18,290.336608
1398/01/12 H19,302.83139
1398/01/12 H20,338.756826
1398/01/12 H21,371.783451
1398/01/12 H22,358.894677
1398/01/12 H23,347.096735
1398/01/12 H24,335.335731
1398/01/13 H1,317.719336
1398/01/13 H2,286.955495
1398/01/13 H3,256.783153
1398/01/13 H4,238.722176
1398/01/13 H5,232.857794
1398/01/13 H6,231.152559
1398/01/13 H7,228.169784
1398/01/13 H8,212.709756
1398/01/13 H9,217.692362
1398/01/13 H10,231.308593
1398/01/13 H11,252.064609
1398/01/13 H12,271.701215
1398/01/13 H13,276.150846
1398/01/13 H14,268.560447
1398/01/13 H15,260.204715
1398/01/13 H16,255.398276
1398/01/13 H17,249.636629
1398/01/13 H18,249.368152
1398/01/13 H19,256.980216
1398/01/13 H20,297.331828
1398/01/13 H21,354.092673
1398/01/13 H22,353.95922
1398/01/13 H23,346.021204
1398/01/13 H24,337.353593
1398/01/14 H1,320.730851
1398/01/14 H2,291.424225
1398/01/14 H3,262.456242
1398/01/14 H4,247.684841
1398/01/14 H5,242.25261
1398/01/14 H6,240.526332
1398/01/14 H7,237.048284
1398/01/14 H8,224.724533
1398/01/14 H9,233.364894
1398/01/14 H10,253.364049
1398/01/14 H11,280.550608
1398/01/14 H12,299.847989
1398/01/14 H13,306.733297
1398/01/14 H14,299.960619
1398/01/14 H15,287.839302
1398/01/14 H16,282.601315
1398/01/14 H17,281.809031
1398/01/14 H18,291.110558
1398/01/14 H19,301.752551
1398/01/14 H20,343.674662
1398/01/14 H21,388.68979
1398/01/14 H22,376.244921
1398/01/14 H23,365.042419
1398/01/14 H24,352.308283
1398/01/15 H1,334.740805
1398/01/15 H2,298.804188
1398/01/15 H3,269.179828
1398/01/15 H4,254.500573
1398/01/15 H5,247.031045
1398/01/15 H6,245.458752
1398/01/15 H7,243.088024
1398/01/15 H8,232.637408
1398/01/15 H9,244.447943
1398/01/15 H10,267.357209
1398/01/15 H11,292.565829
1398/01/15 H12,306.303042
1398/01/15 H13,311.949973
1398/01/15 H14,303.566254
1398/01/15 H15,294.59584
1398/01/15 H16,288.634258
1398/01/15 H17,288.418726
1398/01/15 H18,292.915582
1398/01/15 H19,301.67481
1398/01/15 H20,339.091524
1398/01/15 H21,388.933991
1398/01/15 H22,377.084229
1398/01/15 H23,363.237032
1398/01/15 H24,349.386729
1398/01/16 H1,324.71584
1398/01/16 H2,291.693601
1398/01/16 H3,268.38707
1398/01/16 H4,254.639462
1398/01/16 H5,247.241473
1398/01/16 H6,245.979633
1398/01/16 H7,242.243241
1398/01/16 H8,225.067559
1398/01/16 H9,229.871261
1398/01/16 H10,245.489986
1398/01/16 H11,269.505891
1398/01/16 H12,289.292621
1398/01/16 H13,297.423477
1398/01/16 H14,293.301479
1398/01/16 H15,286.960341
1398/01/16 H16,283.988805
1398/01/16 H17,280.393044
1398/01/16 H18,288.579735
1398/01/16 H19,303.509282
1398/01/16 H20,342.172514
1398/01/16 H21,382.719763
1398/01/16 H22,375.952678
1398/01/16 H23,364.995667
1398/01/16 H24,346.372203
1398/01/17 H1,313.636991
1398/01/17 H2,276.944853
1398/01/17 H3,259.369648
1398/01/17 H4,248.604599
1398/01/17 H5,245.943728
1398/01/17 H6,246.424846
1398/01/17 H7,247.244536
1398/01/17 H8,252.677226
1398/01/17 H9,272.029093
1398/01/17 H10,294.925358
1398/01/17 H11,315.164588
1398/01/17 H12,331.372234
1398/01/17 H13,336.066009
1398/01/17 H14,321.757405
1398/01/17 H15,310.72927
1398/01/17 H16,304.396905
1398/01/17 H17,307.792561
1398/01/17 H18,314.993932
1398/01/17 H19,321.935833
1398/01/17 H20,350.103328
1398/01/17 H21,403.112629
1398/01/17 H22,393.51115
1398/01/17 H23,376.414979
1398/01/17 H24,354.545174
1398/01/18 H1,321.833949
1398/01/18 H2,282.671175
1398/01/18 H3,264.062586
1398/01/18 H4,255.191721
1398/01/18 H5,251.483679
1398/01/18 H6,251.460335
1398/01/18 H7,253.764718
1398/01/18 H8,256.323184
1398/01/18 H9,276.88365
1398/01/18 H10,298.923176
1398/01/18 H11,318.937434
1398/01/18 H12,333.356941
1398/01/18 H13,337.95469
1398/01/18 H14,329.536232
1398/01/18 H15,319.54435
1398/01/18 H16,312.672002
1398/01/18 H17,314.733029
1398/01/18 H18,327.430652
1398/01/18 H19,343.157923
1398/01/18 H20,369.123437
1398/01/18 H21,403.481906
1398/01/18 H22,392.484881
1398/01/18 H23,375.76719
1398/01/18 H24,353.233622
1398/01/19 H1,317.659229
1398/01/19 H2,281.444959
1398/01/19 H3,263.679916
1398/01/19 H4,254.144178
1398/01/19 H5,251.315643
1398/01/19 H6,252.059436
1398/01/19 H7,253.913732
1398/01/19 H8,256.184752
1398/01/19 H9,278.562234
1398/01/19 H10,301.127309
1398/01/19 H11,317.285696
1398/01/19 H12,324.197051
1398/01/19 H13,327.440386
1398/01/19 H14,321.140521
1398/01/19 H15,312.144353
1398/01/19 H16,305.002919
1398/01/19 H17,311.754306
1398/01/19 H18,313.83982
1398/01/19 H19,320.089296
1398/01/19 H20,360.654646
1398/01/19 H21,402.887982
1398/01/19 H22,392.422249
1398/01/19 H23,374.856409
1398/01/19 H24,351.119072
1398/01/20 H1,312.521582
1398/01/20 H2,280.068275
1398/01/20 H3,262.988351
1398/01/20 H4,255.533242
1398/01/20 H5,250.832792
1398/01/20 H6,250.764541
1398/01/20 H7,251.486888
1398/01/20 H8,254.92514
1398/01/20 H9,277.65031
1398/01/20 H10,300.923122
1398/01/20 H11,318.785564
1398/01/20 H12,328.347131
1398/01/20 H13,332.789522
1398/01/20 H14,324.181888
1398/01/20 H15,315.713058
1398/01/20 H16,312.26343
1398/01/20 H17,312.890423
1398/01/20 H18,314.457432
1398/01/20 H19,323.175464
1398/01/20 H20,350.478816
1398/01/20 H21,403.267275
1398/01/20 H22,393.944493
1398/01/20 H23,375.595625
1398/01/20 H24,350.415219
1398/01/21 H1,312.698015
1398/01/21 H2,281.789248
1398/01/21 H3,263.497572
1398/01/21 H4,255.955312
1398/01/21 H5,251.467861
1398/01/21 H6,252.224599
1398/01/21 H7,253.171157
1398/01/21 H8,256.970256
1398/01/21 H9,281.640512
1398/01/21 H10,306.961867
1398/01/21 H11,323.165914
1398/01/21 H12,329.77587
1398/01/21 H13,331.278948
1398/01/21 H14,319.421549
1398/01/21 H15,308.213889
1398/01/21 H16,304.292294
1398/01/21 H17,306.015522
1398/01/21 H18,308.136615
1398/01/21 H19,308.950835
1398/01/21 H20,337.174613
1398/01/21 H21,394.159021
1398/01/21 H22,386.667746
1398/01/21 H23,368.571749
1398/01/21 H24,345.19105
1398/01/22 H1,313.181517
1398/01/22 H2,282.073512
1398/01/22 H3,263.545001
1398/01/22 H4,255.06036
1398/01/22 H5,250.423833
1398/01/22 H6,249.819492
1398/01/22 H7,246.510019
1398/01/22 H8,244.381555
1398/01/22 H9,271.422985
1398/01/22 H10,299.344406
1398/01/22 H11,321.595683
1398/01/22 H12,331.2067
1398/01/22 H13,331.935003
1398/01/22 H14,316.687574
1398/01/22 H15,302.972531
1398/01/22 H16,297.778938
1398/01/22 H17,297.425312
1398/01/22 H18,299.493964
1398/01/22 H19,305.764811
1398/01/22 H20,343.291924
1398/01/22 H21,389.177607
1398/01/22 H22,377.896324
1398/01/22 H23,361.49675
1398/01/22 H24,341.055192
1398/01/23 H1,311.483647
1398/01/23 H2,280.214858
1398/01/23 H3,260.988252
1398/01/23 H4,251.143617
1398/01/23 H5,244.769852
1398/01/23 H6,243.91723
1398/01/23 H7,237.714123
1398/01/23 H8,226.953468
1398/01/23 H9,236.468721
1398/01/23 H10,255.632712
1398/01/23 H11,279.576578
1398/01/23 H12,292.547178
1398/01/23 H13,296.896776
1398/01/23 H14,288.384896
1398/01/23 H15,277.023921
1398/01/23 H16,271.484602
1398/01/23 H17,269.24112
1398/01/23 H18,274.397362
1398/01/23 H19,287.180455
1398/01/23 H20,320.812736
1398/01/23 H21,371.218919
1398/01/23 H22,367.95609
1398/01/23 H23,355.267662
1398/01/23 H24,332.022353
1398/01/24 H1,297.853738
1398/01/24 H2,264.992883
1398/01/24 H3,250.034873
1398/01/24 H4,244.109146
1398/01/24 H5,241.812103
1398/01/24 H6,242.30973
1398/01/24 H7,243.975998
1398/01/24 H8,250.973648
1398/01/24 H9,273.986698
1398/01/24 H10,298.980859
1398/01/24 H11,313.943487
1398/01/24 H12,325.419245
1398/01/24 H13,326.196923
1398/01/24 H14,316.635801
1398/01/24 H15,304.690999
1398/01/24 H16,301.582589
1398/01/24 H17,305.107287
1398/01/24 H18,307.367133
1398/01/24 H19,310.76018
1398/01/24 H20,334.553519
1398/01/24 H21,395.572773
1398/01/24 H22,389.424496
1398/01/24 H23,370.791883
1398/01/24 H24,341.631341
1398/01/25 H1,301.538324
1398/01/25 H2,268.880036
1398/01/25 H3,254.420368
1398/01/25 H4,248.286656
1398/01/25 H5,245.269873
1398/01/25 H6,244.930986
1398/01/25 H7,245.182389
1398/01/25 H8,252.078185
1398/01/25 H9,279.096371
1398/01/25 H10,305.756809
1398/01/25 H11,322.27035
1398/01/25 H12,330.534817
1398/01/25 H13,333.102281
1398/01/25 H14,320.662549
1398/01/25 H15,307.98307
1398/01/25 H16,304.904749
1398/01/25 H17,308.578507
1398/01/25 H18,308.637205
1398/01/25 H19,309.586077
1398/01/25 H20,334.443427
1398/01/25 H21,394.791861
1398/01/25 H22,389.644508
1398/01/25 H23,372.35054
1398/01/25 H24,345.628319
1398/01/26 H1,311.522778
1398/01/26 H2,272.018317
1398/01/26 H3,258.618383
1398/01/26 H4,250.393116
